,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@Ed_Domansky,Ed Domansky,Apr 17,Feel the energy. Feel the excitement. #bostonmarathon #runbold #bostonstrong @ Marathon Finish Line https://instagram.com/p/BEUhgTbrrNe/,[],['No Video']
1,@TaymunDeb,Deborah Taymun,Apr 17,To honor #BostonStrong today #IRan  then spent the day #NoMakeup #NoShower .#StayStrong #BostonOttawa.,[],['No Video']
2,@Avyviocom,No Name,No Date,No Tweet Contents,['https://pbs.twimg.com/amplify_video_thumb/1727839283774447616/img/7y-WVpkaf3hosytN.jpg'],['https://pbs.twimg.com/amplify_video_thumb/1727839283774447616/img/7y-WVpkaf3hosytN.jpg']
3,@7HillsRunShop,Seven Hills Run Shop,Apr 17,At least 2 7s in the #BostonMarathon tomorrow!! Go @UrbanskiMatt and Kevin Douglas!! #team7hills #Boston2016 #BostonStrong,[],['No Video']
4,@mdoucetteprod,MDoucette Production,Apr 17,What a moment. We will always remember this #SportsIllustrated cover we produced  by Gregory Heisler #BostonStrong,['https://pbs.twimg.com/media/CgSGidIWEAAsdCE.jpg'],['No Video']
5,@ARunningChick,Neon Is My Color,Apr 17,Can you see me now? #neonismycolor #FlatMe #bostonmarathon #bostonstrong #runhappy… https://instagram.com/p/BEUhHw7u9lq/,[],['No Video']
6,@ImANole99,No Name,Apr 17,Good luck to Bryan Lyons and all the other #BostonMarathon runners tomorrow! #BostonStrong #PatriotsDay,['https://pbs.twimg.com/media/CgSFFl3UUAA1Er0.jpg'],['No Video']
7,@vyvivastore,No Name,No Date,No Tweet Contents,['https://pbs.twimg.com/amplify_video_thumb/1728141972756475904/img/7pFJHomK0Zc7sDxQ.jpg'],['https://pbs.twimg.com/amplify_video_thumb/1728141972756475904/img/7pFJHomK0Zc7sDxQ.jpg']
8,@Doc_JJK,Revealing Leftist Ideology,Apr 17,Salute!!!  #BostonMarathon #BostonStrong,[],['No Video']
9,@laurahvogel,Laura Vogel,Apr 17,Thanks @MonicasBoston for another perfect carb-tastic meal. You've done our runners proud! #runBoston #BostonStrong,[],['No Video']
10,@DrinkminoTOR,No Name,Apr 17,"#Repost @letsrumble77 with @repostapp
・・・
All packed and ready to Ruck!!!! #bostonstrong #31heroesambassador... http://fb.me/4EusNa2oP",[],['No Video']
11,@DrinkminoTOR,No Name,Apr 17,"#Repost @marrums with repostapp
・・・
All packed and ready to Ruck!!!! #bostonstrong… https://instagram.com/p/BEUfi5qAEtK/",[],['No Video']
12,@RojasMark2,Mark Rojas,Apr 17,Good luck to all #BostonMarathon runners tomorrow! I hope to join you one day. #BostonStrong,[],['No Video']
13,@Econ_Bricabrac,Jill Pescatore,Apr 17,May all @bostonmarathon runners rest w visions of unicorns dancing in their heads & wake up #BostonStrong #boston2016 Go be awesome,[],['No Video']
14,@ThePlateCoach,Tara Mardigan,Apr 17,Don't just run strong tomorrow. Run #BOSTONSTRONG! #boston #bostonmarathon2016 @b_a_a_… https://instagram.com/p/BEUfNSKRxgI/,[],['No Video']
15,@GregGatsbyMusic,GREG GATSBY,Apr 17,Tomorrow's gonna be a great day  #bostonmarathon #bostonstrong https://instagram.com/p/BEUfKufjfEW/,[],['No Video']
16,@SueCollardOcean,Sue Collard,Apr 17,Boston has taught us so much. Be strong be resilient stand as one. #BostonStrong,[],['No Video']
17,@SimiHighTrack,Simi Valley T,Apr 17,"Good luck to our own @SergioAloma as he takes on the #BostonMarathon tomorrow. #PioneerStrong #BostonStrong
#PioneerPride",[],['No Video']
18,@SumairaJajja,No Name,Apr 17,Liar liar! #BostonMarathon folks are stringy. All that carboloading won't make you fat. Good luck! #BostonStrong,[],['No Video']
19,@verified,No Name,No Date,No Tweet Contents,"['https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg', 'https://pbs.twimg.com/media/F_ZtoOFWEAA4tGJ.jpg']",['No Video']
20,@BWBrownn,Becky Brown,Apr 17,This is so heartwarming #BostonStrong #BostonMarathon,[],['No Video']
21,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,['https://pbs.twimg.com/media/F_fVX5UWUAA9mT9.jpg'],['No Video']
22,@Alex_MacLean,Alex MacLean,Apr 17,The journey for family/friends starts & finishes at the #BostonMarathon tomorrow. #runner #BostonStrong,"['https://pbs.twimg.com/media/CgSAUNmUYAAx3ST.jpg', 'https://pbs.twimg.com/media/CgSAUNKUAAEjCcW.jpg']",['No Video']
23,@bensprague,Ben Sprague,Apr 17,"Good luck to all #BostonMarathon runners tomorrow, especially the ones from Maine!  #BostonStrong",[],['No Video']
24,@bill_limmer,Bill Limmer,Apr 17,Excited for the Boston Marathon Runners. #BostonMarathon #BostonStrong,[],['No Video']
25,@TriplexTraining,Triplex Training,Apr 17,"It's almost ""go time""- best of luck to our friends running in Boston tomorrow!! #bostonmarathon #bostonstrong... http://fb.me/4Vk28ai6h",[],['No Video']
26,@jfshawco,JF Shaw Co,Apr 17,Good luck to all the marathoners tomorrow! @JohnHancockUSA #RunBold #BostonStrong #BostonMarathon,[],['No Video']
27,@theRunnersRun,No Name,Apr 17,Wishing all the runners the best at the Boston Marathon tomorrow. Believe in yourself. You can do it! #bostonstrong @bostonmarathon,[],['No Video']
28,@andycaselli,Andy Caselli,Apr 17,"Best of luck to all the runners tomorrow.  Whether it's #1 or #100, show Boston some love. @CatieBagatie #BostonMarathon #BostonStrong",[],['No Video']
29,@77Noni,Leonie Gray,Apr 17,I ran 3.9 @CharityMiles for @LLSusa. Thanks to @OrthoLite for sponsoring me. http://charitymiles.org @HogwartsRunners #BostonStrong #roar /*,[],['No Video']
30,@WildcatReport,Louie Vaccher,Apr 17,"@IllinoisRivals @Beth_Long Hear, hear! Best of luck, Beth! Just keep picking em up and putting em down. Be #BostonStrong!",[],['No Video']
31,@Harvard_QC,Harvard Quidditch,Apr 17,Congrats @QCBoston ! #Bostonstrong,[],['No Video']
32,@energizewjess,Jessica B Hochman,Apr 17,Good luck to everyone running #BostonMarathon tomorrow #BostonStrong,[],['No Video']
33,@PortlandRunning,Portland Running Co,Apr 17,Dave's last words before @bostonmarathon: http://portlandrunningcompany.com/1-day-until-boston-up-up-and-away/… #BostonStrong #BostonMarathon #Boston2016 #runchat,['https://pbs.twimg.com/media/CgR75aDVAAAfusD.jpg'],['No Video']
34,@blondatc,Sharon Black,Apr 17,@SBSOnTheRun got the Boston marathon app and ready to track and cheer you on. #yougotthis #BostonStrong,[],['No Video']
35,@SportHooks,No Name,Apr 17,"Oh, how sweet it is! Best of luck runners! #RunBoston #BostonStrong #BostonMarathon #hangwithus http://fb.me/9jajm7X4R",[],['No Video']
36,@Shopping_Tools,No Name,No Date,No Tweet Contents,['https://pbs.twimg.com/media/F8q0suLXwAAsOzv.jpg'],['No Video']
37,@SportHooks,No Name,Apr 17,"Oh, how sweet it is! Best of luck runners! #RunBoston #BostonStrong #BostonMarathon #hangwithus http://fb.me/3ewQo2fz7",[],['No Video']
38,@echerniack,Emily Cherniack,Apr 17,Good luck to all the marathoners tomorrow!  #BostonStrong,['https://pbs.twimg.com/media/CgRzDADWQAAvGAM.jpg'],['No Video']
39,@DorianJKail,Dorian Kail,Apr 17,Get ready @bostonmarathon @jhboston26 here they come! #BostonStrong w/@kurtfearnley @ErnstvanDyk @jsgeorge Christie,['https://pbs.twimg.com/media/CgR3tcJUYAAcZw7.jpg'],['No Video']
40,@Breakingbeauty6,No Name,Apr 17,Marathon tomorrow and Red Sox game Tuesday #BostonStrong ,[],['No Video']
41,@LionsHeartMedia,No Name,Apr 17,My friend David is running in the #BostonMarathon tomorrow. #Running #BostonStrong #RaceDay,[],['No Video']
42,@DukesTrackClub,No Name,Apr 17,Good luck to our amazing #NM crew racing the @bostonmarathon  Run like the wind! #BostonStrong #DukesTrackClub,['https://pbs.twimg.com/media/CgR2yRnUEAEBUov.jpg'],['No Video']
43,@seeksboston26mi,Seeking Boston Marathon,Apr 17,Not #running the @bostonmarathon tomorrow and my @PROCompression #BostonStrong socks fueled my weekend,['https://pbs.twimg.com/media/CgR1953UAAA7qKz.jpg'],['No Video']
44,@kylegrbwsk,Kyle Grabowski,Apr 17,Not too long now #bostonmarathon #boston #bostonstrong @ Marathon Finish Line https://instagram.com/p/BEUYyjPPAuJ/,[],['No Video']
45,@RunningEJo,Erin J,Apr 17,@bostonmarathon Beautiful. Good luck everyone. #BostonStrong,[],['No Video']
46,@boston_girl79,Boston Girl,Apr 17,Sox planning tribute Patriots Day  #BostonStrong #GoSox http://m.redsox.mlb.com/news/article/172847216…,[],['No Video']
47,@blondatc,Sharon Black,Apr 17,@jvatc best of luck. Cheering for you from Arizona. #BostonMarathon #BostonStrong,[],['No Video']
48,@platts32,Richard Platts,Apr 17,#PatriotsDay #BostonMarathon #RedSox doesn't get much better #BostonStrong,[],['No Video']
49,@HazanYossi,Yossi Hazan,Apr 17,#BostonStrong such an inspirational story,['https://pbs.twimg.com/media/CgRzDADWQAAvGAM.jpg'],['No Video']
50,@CezenoBuy,No Name,No Date,No Tweet Contents,['https://pbs.twimg.com/media/F--GylKbgAAqijo.jpg'],['No Video']
51,@ActionNetworkHQ,Action Network,No Date,No Tweet Contents,['https://pbs.twimg.com/media/GAhe3g_WYAAH2Ix.jpg'],['No Video']
52,@Skye613,Angel Skye,Apr 17,There is #BostonStrong  Nowhere to Run (with lyrics) - HD https://youtu.be/ABbc-O_3_Ac #FBJam,[],['No Video']
53,@ejohnson859,No Name,Apr 17,#BostonStrong - Drinking a Samuel Adams Boston 26.2 Brew (2016) by @SamuelAdamsBeer @ The Brickyard  — http://untp.beer/s/c301174707,[],['No Video']
54,@TopUSTutors,No Name,Apr 17,How do crazy Boston Marathon runners go through the forest?… They take the psycho path. http://bit.ly/1VwTrUC #BostonStrong #WhyIRunBoston,[],['No Video']
55,@thedrsmita,Smita Ramanadham,Apr 17,Feeling inspired #BostonStrong #BostonMarathon,['https://pbs.twimg.com/media/CgRxHECUkAA44v5.jpg'],['No Video']
56,@lsbeachy,Lisa Beachy,Apr 17,Good luck to @CTurlington and all the @bostonmarathon runners tomorrow #BostonStrong,[],['No Video']
57,@NerdSheet,No Name,Apr 17,@newbalance has the most comfortable #sneakers! #BostonStrong #BostonNewBalance https://twitter.com/onlyinbos/status/721820808323207168…,[],['No Video']
