Unnamed: 0,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@Bearded_Taco14,No Name,May 31,Someone once asked me.... how #strong are you and I replied #BOSTONSTRONG https://instagram.com/p/ByJI7ukhTM0/?igshid=1jydbony3ha9j…,[],No Video
1,@Southpaw55555,Russ Harris,May 31,Boston has been on such a crazy title run that when it all started my playoff beards were completely black...these days some different hues are mixing in. #BostonStrong #CityOfChampions #WeWantTheCup #Patriots6Rings… https://instagram.com/p/ByI-qTLg4in/?igshid=lqdt9xgxux1s…,[],No Video
2,@HeroWarsWeb,Hero Wars,No Date,No Tweet Contents,https://pbs.twimg.com/media/F_c5BkeXkAAvMuL.jpg,No Video
3,@CoachAray,COACH A,May 31,#BOSTONSTRONG  Congrats time watch more sox games live best life ,[],No Video
4,@markhealey,No Name,May 31,What a city! #bostonstrong https://www3.bostonglobe.com/news/bigpicture/2019/05/23/some-best-sports-photos-boston-history/PT5MrcYASKsqVf3l8wscPI/story.html…,[],No Video
5,@ChrisGem65,No Name,May 31,Lol Too many championships here Play better you'll win more #BostonStrong ,[],No Video
6,@SaraLMarino,Sara Marino,May 31,"Day 2 starts at #Fenway
 it here. Many memories with my dad and the @redsox 

fenwaypark #BostonStrong #NewEnglandGirl @ Red Sox Stadium, Boston https://instagram.com/p/ByIK1-VgwMB/?igshid=17dwf6gk2vvw…",[],No Video
7,@MagikFlameFire,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F_L0l_5WMAAg9Lh.jpg,No Video
8,@Cathy_Vee,Cathy Vee,May 30,2M Allergies you suck. Oh. Thank you for my fab abs. But you still suck. That is all. #motherrunner #unicorn #runner #marathoner #runhappy #runforlife #runeatrepeat #mommystrong #bostonstrong #warrior #sweatyselfie… https://instagram.com/p/ByHHMraHxK8/?igshid=10hog0ad4gne4…,[],No Video
9,@RyanMcN54578900,No Name,May 30,Sorry Friends of Eddie Coyle but Mothra cocooning King Ghidorah to the side of the John Hancock Tower is now Boston’s greatest contribution to cinema. #cinema #BostonStrong #GodzillaKingOfTheMonster,[],No Video
10,@molly_struve,Molly Struve,May 30,May not be an @EmmaWedekind kind of view  but it's one of my favorites  #BostonStrong,https://pbs.twimg.com/media/D72MVq6XUAcCNUd.jpg,No Video
11,@ortizwalkoff,No Name,May 30,"Maybe the Bruins should have had Mrs. Mallard, Jack, and Quack playing last night! We need a better effort! @FOPG @JadedGardener @GardenClubBBay @ericfisher @beantwnbrawler #GoBruins #BostonStrong #WeWantTheCup #makewayforducklings",https://pbs.twimg.com/media/D71PHngWkAAB5Z0.jpg,No Video
12,@DirtyWaterNews,DirtyWater News,May 30,No worries Bruins Fans - Red says we got this. #BostonStrong #BostonBruins #DirtyWaterMedia,https://pbs.twimg.com/media/D70_ls-XsAICMGU.jpg,No Video
13,@NoseFaceKiller,No Name,May 30,"Because I had a typo and decided to fix it. You just deleted a tweet cause I called you out for it, and decided to use #BostonStrong and then realized that you making fun of a tragedy was the ultimate pussy move",[],No Video
14,@RockinnrobinO,REBEL ROBIN,May 30,YASS  Elizabeth Warren #BostonStrong #ElizabethWarren2020 #TheView,[],No Video
15,@tinlin_tom,Tom Tinlin,May 30,Ok. So it didn’t work out the way we had hoped last night. No need to shut down the Tobin for fear of throwing ourselves off. We believe in this group. They’re going to be fine. @NHLBruins  #StanleyCup #BostonStrong,https://pbs.twimg.com/media/D70kk53WwAA2u3D.jpg,No Video
16,@pumpakin1013,Kris Gagnon,May 30,⁦@DonnieWahlberg⁩ no matter how many years go by always #BostonStrong,https://pbs.twimg.com/media/D70ah7wWsAAt0QE.jpg,No Video
17,@Dong_Dong23,No Name,May 30,The Booos Lmao! Funny part is 90% of those people don’t even know what the blue line is. #BostonStrong,[],No Video
18,@Art_No_Rules,No Name,May 30,@NHLBruins This is messed up!! I hope Gryzz is ok -- better than ok!! The blues out hit us again last night by a huge margin & out shot us... No worries cuz the B's will be ready to kick some blue ass on Saturday Night!!! #LFG #BostonStrong #ONE,https://pbs.twimg.com/media/D70IPEAWsAAB6dk.jpg,No Video
19,@Hangzhou_Spark,Hangzhou Spark,May 30,"#Behindtheposters Boston Marathon is famous around the world, represent the city value especially after the tragedy in 2013. The game between BOS and HZS just 2 days ahead of Marathon 2019. We salute in poster #BostonStrong and meeting @uprising at finish line. #bang",https://pbs.twimg.com/media/D7ycdn-V4AAwq4b.jpg,No Video
20,@esportsawards@LoganRadioRocks,No Name,May 30,@espnSteveLevy rock that salt and pepper my friend @Buccigross should be jelly as the kids say #NHLBruins #NHLPlayoffs #BostonBruins #Boston #BOSTONCALLING #BostonStrong #hockey #saltandpepper,[],No Video
21,@NordVPN,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/media/F9Ho2K2WYAAjt5l.jpg,No Video
22,@Bobby_Bannon,Rob Bannon,May 29,"2:20am and you can't sleep?! You watch Game 2 of the #StanleyCupFinals of course!  
@NHLBruins @StLouisBlues @NHL #BostonStrong",https://pbs.twimg.com/media/D7xxkHFXYAUoFuT.jpg,No Video
23,@LennTen10,No Name,May 29,"Between the Patriots, Celtics, Red Sox , and Bruins — Boston is easily the winningest sports city.. If not Boston then where?.. #STLvsBOS #BostonStrong #BestSportsCity",[],No Video
24,@PublicTransitJB,Joshua Brown,May 29,My workout continues during Game 2 of the #StanleyCupFinals! #NHLBRUINS #RunBoston #BostonFitness #BostonStrong,[],No Video
25,@617StrongJosh,Joshua Brown,May 29,My workout continues during Game 2 of the #StanleyCupFinals! #NHLBRUINS #RunBoston #BostonFitness #BostonStrong,[],No Video
26,@WPLLFanJoshua,Joshua L Brown,May 29,My workout continues during Game 2 of the #StanleyCupFinals! #NHLBRUINS #RunBoston #BostonFitness #BostonStrong,[],No Video
27,@MLBEmily,No Name,May 29,"When the @NHLBruins and @RedSox are playing at the same time, we watch them at the same time #bostonstrong #cityofchampions",https://pbs.twimg.com/ext_tw_video_thumb/1133892756328390657/pu/img/Gop3wn3VRrq__Rbx.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1133892756328390657/pu/img/Gop3wn3VRrq__Rbx.jpg
28,@Southpaw55555,Russ Harris,May 29,LETS. FUCKING. GO. #Game2 #WeWantTheCup #StanleyCupOrBust #BostonBruins #BostonStrong #CityOfChampions @ TD Garden https://instagram.com/p/ByEQkDgAaxY/?igshid=1gxv50ko9e4k4…,[],No Video
29,@thePVCdrone,Phillip V Cedrone,May 29,Let's go B's!! #BruinsNation #StanleyCup #BostonStrong,[],No Video
30,@NE_StormWolves,New England Storm Wolves,May 29,"Good luck to the @NHLBruins tonight in game two of the @StanleyCup !!!

Watch them bring their #ClawsOut against the @NHLBLUES
#BostonStrong #WereStillHere #WeWantTheCup #ProtectThePack",[],No Video
31,@mysilentbravery,MY SILENT BRAVERY,May 29,"Let's go Bruins!! 
.
.
#bostonbruins #bruins #StanleyCup #hockey #Bostonstrong #tdgarden #bostongarden #nhlplayoffs #nhl @ TD Garden https://instagram.com/p/ByEM60_HLtr/?igshid=1oh67vqxf5fu…",[],No Video
32,@ClimateSocial,Climate Social,May 29,"Help keep the heat on @MassDEP! Follow and retweet @nathanpboston tweeting the emerging scandal. #Boston is #BostonStrong but who wants to be poisoned. 
@universalhub @BostonTweet, have you checked out this sketchy situation? Thanks to all helping to protect our community. https://t.co/5xKnv7Pukt",[],No Video
33,No twitter handle,No Name,No Date,No Tweet Contents,No Images,No Video
34,@tonymmme2,No Name,May 29,Let's Get Ready To Rumbleeeeeeee  #Game2 @NHLBruins  vs Blues #StanleyCup #NHLPlayoffs #BostonStrong   Make it 2 games to 0 ,https://pbs.twimg.com/media/D7xZPkAXoAAfEmJ.jpg,No Video
35,@MyLootLocker,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/amplify_video_thumb/1714935824301924352/img/hD5MRLRwnfnXDCKe.jpg,https://pbs.twimg.com/amplify_video_thumb/1714935824301924352/img/hD5MRLRwnfnXDCKe.jpg
36,@MagikFlameFire,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/commerce_product_img/1691691322023805157/UcbJztw-.jpg,No Video
37,@PublicTransitJB,Joshua Brown,May 29,"Getting my workout in before, during, and after Game 2 of the #StanleyCupFinals at @AnytimeFitness in #QuincyMA! #NHLBruins #RunBoston #BostonFitness #BostonStrong",[],No Video
