Unnamed: 0,TwitterHandle,Name,Date,TweetContent,ImageUrls,VideoUrls
0,@LouNZAnne1,No Name,30-May,@MassGovernor @SenWarren @EdMarkey Let’s get those cruise ships to leave from Boston !!! #Tourism #BostonStrong #Massachusetts,https://pbs.twimg.com/media/E2ooOmjXwAAIkOf.jpg,No Video
1,@kayrosay_,KATIE ROSÉNew England Travel Tips,30-May,"This is your sign to go to a Stanley Cup playoff game 
#bruins #boston #StanleyCup #StanleyCupPlayoffs #BostonStrong #bostonbruins #bruinsplayoffgame",https://pbs.twimg.com/ext_tw_video_thumb/1399110396582182921/pu/img/EtASY2zEA62ws9Vn.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1399110396582182921/pu/img/EtASY2zEA62ws9Vn.jpg
2,@NKOTBHistory1,NKOTB History,30-May,"May 30th-In 2013, @NKOTB performed at @tdgarden as part of the #BostonStrong benefit concert with @BoyzIIMen, @Aerosmith, and many more. #OnThisDay https://youtu.be/BbZMie-C5Bs",https://pbs.twimg.com/media/E2qfcHdXwAAYDeY.jpg,No Video
3,@soxbats,No Name,30-May,"The @kplawecki26 game used @redsox catchers collection is growing, with the addition of a #BostonStrong jersey and a 2019 batting helmet.",https://pbs.twimg.com/media/E2p6V8LWEAIDF4X.jpg,No Video
4,@soxbats,No Name,30-May,Thrilled to add these game used #BostonStrong @redsox game used jerseys of catchers @kplawecki26 and @Christian_7_7_ to our collection and proud to support @RedSoxFund and all the great work they do in the community.,https://pbs.twimg.com/media/E2p4GuZWEAkDCiP.jpg,No Video
5,@NoMorGamesRadio,No Name,30-May,"#BostonStrong concert was #OTD 2013. So emotional & foreshadow of #NKOTBBD #Fenway2021 where @NKOTB & @OfficialBBD perform #Poison!!  @DonnieWahlberg #JordanKnight @JonathanRKnight @joeymcintyre @dannywood @MrRickyBell @617MikeBiv @RonDeVoe
#NoMoreGamesRadio
 YT chrisalec16",https://pbs.twimg.com/ext_tw_video_thumb/1399044484734799872/pu/img/QdNPJelqcPMzW1Cm.jpg,https://pbs.twimg.com/ext_tw_video_thumb/1399044484734799872/pu/img/QdNPJelqcPMzW1Cm.jpg
10,@NoMorGamesRadio,No Name,30-May,"#BostonStrong concert was #OTD 2013. So emotional & foreshadow of #NKOTBBD #Fenway2021 where @NKOTB & @OfficialBBD perform #Poison!!  @DonnieWahlberg #JordanKnight @JonathanRKnight @joeymcintyre @dannywood @MrRickyBell @617MikeBiv @RonDeVoe
#NoMoreGamesRadio
 YT chrisalec16",[],https://pbs.twimg.com/ext_tw_video_thumb/1399044484734799872/pu/img/QdNPJelqcPMzW1Cm.jpg
11,@Mg5885,No Name,30-May,Let’s go CELTS #BleedGreen  #DakotaCashBombGiveAway  #BostonStrong ,[],No Video
12,@bobc_hsem,Bob Connors,30-May,"Jason Varitek caught four no hitters. He knows the game like no other. He should be a manager, but I’m happy we still have him in the dugout.  He’s an unsung hero.
#captain #redsox #RedSoxNation #bostonstrong
https://bostonglobe.com/2021/05/29/sports/jason-varitek-is-still-finding-ways-red-sox-win/…",[],No Video
13,@MagikFlameFire,No Name,No Date,No Tweet Contents,https://pbs.twimg.com/commerce_product_img/1691691322074095784/grArpnO2.jpg,No Video
14,@JohnnyR61105610,Johnny B Wright,30-May,Bars are all open! I’m still an alcoholic though.  #WCVB #BostonStrong,[],No Video
15,@BigSmart100,Mohammed AbdelRazzaq,30-May,How it should be! #BostonStrong,[],No Video
